7,5,58.00,502.00,20.00,40.00,0.92,0,0,-1
7,7,2353.00,2459.00,22.00,35.00,0.92,0,0,-1
7,1,2071.00,3048.00,47.00,62.00,0.81,0,0,-1
7,2,79.00,3230.00,37.00,54.00,0.94,0,0,-1
7,4,628.00,1700.00,32.00,52.00,0.95,0,0,-1
7,6,645.00,2080.00,27.00,61.00,0.93,0,0,-1
7,3,2116.00,1488.00,19.00,24.00,0.93,0,0,-1
8,6,646.00,2080.00,27.00,64.00,0.93,0,0,-1
8,7,2353.00,2459.00,22.00,34.00,0.92,0,0,-1
8,3,2114.00,1487.00,21.00,26.00,0.92,0,0,-1
8,1,2068.00,3049.00,51.00,62.00,0.87,0,0,-1
8,2,80.00,3225.00,38.00,59.00,0.86,0,0,-1
8,4,629.00,1700.00,32.00,53.00,0.93,0,0,-1
8,5,60.00,500.00,18.00,40.00,0.91,0,0,-1
9,6,648.00,2081.00,22.00,65.00,0.91,0,0,-1
9,7,2354.00,2458.00,22.00,35.00,0.94,0,0,-1
9,3,2114.00,1487.00,20.00,27.00,0.89,0,0,-1
9,1,2074.00,3053.00,39.00,60.00,0.71,0,0,-1
9,2,82.00,3225.00,36.00,56.00,0.92,0,0,-1
9,4,628.00,1702.00,35.00,52.00,0.93,0,0,-1
9,5,57.00,500.00,21.00,39.00,0.91,0,0,-1
10,6,650.00,2083.00,23.00,65.00,0.93,0,0,-1
10,7,2353.00,2457.00,22.00,35.00,0.94,0,0,-1
10,3,2118.00,1488.00,14.00,23.00,0.91,0,0,-1
10,1,2073.00,3056.00,42.00,59.00,0.73,0,0,-1
10,2,84.00,3214.00,38.00,65.00,0.86,0,0,-1
10,4,632.00,1703.00,30.00,52.00,0.93,0,0,-1
10,5,60.00,497.00,19.00,41.00,0.90,0,0,-1
11,6,650.00,2084.00,24.00,66.00,0.94,0,0,-1
11,7,2353.00,2456.00,21.00,38.00,0.92,0,0,-1
11,3,2116.00,1486.00,18.00,25.00,0.90,0,0,-1
11,1,2070.00,3057.00,46.00,60.00,0.89,0,0,-1
11,2,85.00,3220.00,34.00,57.00,0.87,0,0,-1
11,4,633.00,1705.00,29.00,53.00,0.94,0,0,-1
11,5,60.00,496.00,19.00,41.00,0.87,0,0,-1
12,6,650.00,2091.00,25.00,62.00,0.93,0,0,-1
12,7,2351.00,2457.00,24.00,36.00,0.93,0,0,-1
12,3,2117.00,1485.00,17.00,26.00,0.91,0,0,-1
12,1,2077.00,3061.00,40.00,56.00,0.24,0,0,-1
12,2,85.00,3222.00,37.00,52.00,0.93,0,0,-1
12,4,634.00,1705.00,29.00,55.00,0.89,0,0,-1
12,5,60.00,493.00,20.00,42.00,0.91,0,0,-1
13,6,649.00,2094.00,27.00,60.00,0.94,0,0,-1
13,7,2353.00,2458.00,23.00,33.00,0.94,0,0,-1
13,3,2118.00,1485.00,22.00,24.00,0.91,0,0,-1
13,1,2075.00,3062.00,42.00,59.00,0.40,0,0,-1
13,2,85.00,3218.00,38.00,55.00,0.84,0,0,-1
13,4,636.00,1708.00,25.00,40.00,0.22,0,0,-1
13,5,60.00,492.00,19.00,42.00,0.88,0,0,-1
14,6,650.00,2094.00,24.00,63.00,0.91,0,0,-1
14,7,2352.00,2457.00,23.00,35.00,0.94,0,0,-1
14,3,2115.00,1484.00,18.00,24.00,0.85,0,0,-1
14,1,2076.20,3065.12,41.56,57.78,0.40,0,0,-1
14,2,88.00,3221.00,38.00,49.00,0.95,0,0,-1
14,4,636.00,1710.00,30.00,53.00,0.93,0,0,-1
14,5,59.00,489.00,23.00,43.00,0.94,0,0,-1
15,6,650.00,2096.00,24.00,63.00,0.92,0,0,-1
15,7,2353.00,2456.00,22.00,35.00,0.94,0,0,-1
15,3,2108.00,1483.00,27.00,23.00,0.83,0,0,-1
15,1,2072.00,3065.00,39.00,61.00,0.49,0,0,-1
15,2,85.00,3215.00,37.00,53.00,0.90,0,0,-1
15,4,635.00,1713.00,31.00,51.00,0.93,0,0,-1
15,5,59.00,489.00,21.00,41.00,0.91,0,0,-1
16,6,653.00,2096.00,22.00,66.00,0.93,0,0,-1
16,7,2352.00,2456.00,22.00,34.00,0.91,0,0,-1
16,3,2112.00,1482.00,27.00,23.00,0.60,0,0,-1
16,1,2072.85,3072.85,48.00,57.00,0.37,0,0,-1
16,2,91.00,3217.00,38.00,49.00,0.92,0,0,-1
16,4,637.00,1714.00,30.00,52.00,0.93,0,0,-1
16,5,63.00,489.00,18.00,39.00,0.83,0,0,-1
17,6,654.00,2100.00,22.00,64.00,0.93,0,0,-1
